ID,שם,מדינה,שנות פעילות,קורות חיים,קישור לתמונה
2711,דב ברנרד פרבר,נמירוב,נפטר ב 01/01/1997,"נולד בנמירוב שבפולין, בשנת 1911...",https://www.jwmww2.org/lochem_pic/113846/PP_113846_10.jpg
2712,בנימין זיגל,קנצ'וגה,נפטר ב ישראל,"נולד לפנינה ויעקב זיגל, בשנת 1922...",https://www.jwmww2.org/lochem_pic/113847/PP_113847_12.jpg
2713,ברנרד סטניסלב מונד,פולין,נפטר ב קרקוב,"נולד לסלומיה ומוריסי ספנייר, ב-14 בנובמבר 1887...",https://www.jwmww2.org/soldierUploads/2713/2713_tecovx7h_1qwzfuuj.jpg
2716,ליאו יהודה כהן,ליבק,נפטר ב גרמניה,נולד בליבק שבגרמניה למשפחה אורתודוקסית...,https://www.jwmww2.org/soldierUploads/2716/2716_axnzbu3c_7dpjczix.jpg
2714,רודולף בלומגרטן,אמסטרדם,לא ידוע,נולד ב- 1920 באמסטרדם הולנד...,https://www.jwmww2.org/soldierUploads/2714/2714_t5ptshef_ushetz9t.jpg
2715,רוזה לוי,בלגיה,נפטר ב 01/01/1996,נולד בשנת 1907 בבלגיה...,https://www.jwmww2.org/lochem_pic/113852/PP_113852_10.jpg
2717,,לא ידוע,,,
2718,ויקטור אביגדור מירקין,יקטרינוסלב,נפטר ב ווילרסקסל צרפת,נולד לרחל ויוסף מירקין ב- 19 לדצמבר 1909...,https://www.jwmww2.org/lochem_pic/113856/PP_113856_11.jpg
2719,ז'אן פייר בלוך,צרפת,נפטר ב פריז צרפת,בנו של תעשיין. קיבל תואר ראשון במשפטים...,https://www.jwmww2.org/lochem_pic/113857/PP_113857_10.jpg
2720,פרידריק הרמן קיש,הודו,לא ידוע,"נולד לאליס והרמן מיכאל קיש, ב-23.8.1888...",https://www.jwmww2.org/soldierUploads/2720/2720_webea3oo_phqrg7ip.jpg
